Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Nepal,NPL,"Time to import, border compliance (hours)",IC.IMP.TMBC,11,..,..,..,..
Netherlands,NLD,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,72.7329639446286,68.1963014575722,72.8509614777156,82.9595565797888,73.8544956609025
Netherlands,NLD,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,3.2331763222335,-4.75497958676864,6.15275297469617,3.84307913874518,-0.819534046635368
Netherlands,NLD,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,647488252333.061,616700318107.899,654644365275.244,679802866310.107,674231650370.693
Netherlands,NLD,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,60885258142.2339,55139888532.7208,97361042498.4125,179673337477.789,100007892301.588
Netherlands,NLD,Net foreign assets (current LCU),FM.AST.NFRG.CN,267097348653.872,284240911742.233,283888974088.628,331652372279.03,350712729807.821
Netherlands,NLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.95558841574046,-3.88608391819609,6.19185710427116,4.32891831787197,0.116008634532122
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52476.2732533327,52162.5701150406,58727.8705471475,57025.01245598,62536.7320298151
Netherlands,NLD,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,2.55,1.71,2.24,..,..
Netherlands,NLD,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,6.16,4.32,5.63,..,..
Netherlands,NLD,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,0.5,..,..,..,..
Netherlands,NLD,"Time to import, border compliance (hours)",IC.IMP.TMBC,0,..,..,..,..
New Caledonia,NCL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,..,..,..
New Caledonia,NCL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..,..,..,..
New Caledonia,NCL,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,..,..,..,..,..
New Caledonia,NCL,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,..,..,..,..,..
New Caledonia,NCL,Net foreign assets (current LCU),FM.AST.NFRG.CN,..,..,..,..,..
New Caledonia,NCL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.40000000198451,-2.40000000064407,-2.09999999762849,3.49999999631376,..
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,34934.5794300065,34877.6356349199,37247.4931167883,35745.8489248912,..
New Caledonia,NCL,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,..,..,..,..,..
New Caledonia,NCL,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,..,..,..,..,..
New Caledonia,NCL,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,..,..,..,..,..
New Caledonia,NCL,"Time to import, border compliance (hours)",IC.IMP.TMBC,..,..,..,..,..
New Zealand,NZL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,27.1141375841523,22.2535915510134,26.2123468357678,29.692093415291,..
New Zealand,NZL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,1.03542070069432,-15.9092746830697,17.3325499952651,4.66642569283987,..
New Zealand,NZL,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,56825234052.1976,47784751477.5362,56067067417.4933,58683395456.6851,..
New Zealand,NZL,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-4488154257.09727,-5349139177.11392,-11327127057.8536,-15141153916.6731,-11262126631.4777
New Zealand,NZL,Net foreign assets (current LCU),FM.AST.NFRG.CN,-90844997000,-99988755000,-106026161000,-104906880000,-91270961000
New Zealand,NZL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.36196217785604,-0.424906457573115,4.54624763852878,2.7748426484212,0.632242361629224
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,42747.2099299966,41785.6922905898,49624.1816729553,48216.5095836302,48527.828920018
New Zealand,NZL,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,2.01,1.94,1.91,..,..
New Zealand,NZL,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,2.04,1.99,1.99,..,..
New Zealand,NZL,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,1,..,..,..,..
New Zealand,NZL,"Time to import, border compliance (hours)",IC.IMP.TMBC,25,..,..,..,..
Nicaragua,NIC,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,49.2377809583133,47.0123601929687,60.0778754515429,65.492348138332,59.0699349563965
Nicaragua,NIC,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-3.83600341969297,0.109195624444354,21.1704972151703,4.99008197308987,8.85783008202256
Nicaragua,NIC,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,6506425638.81758,6513530370.92289,7892477136.7084,8286318215.53752,9020306203.12552
