Country Name,2019 [YR2019]_econ,2020 [YR2020]_econ,2021 [YR2021]_econ,2022 [YR2022]_econ,2023 [YR2023]_econ,2019 [YR2019]_gov,2020 [YR2020]_gov,2021 [YR2021]_gov,2022 [YR2022]_gov,2023 [YR2023]_gov
"Congo, Dem. Rep.",0.0005213557351167329,0.0003341087386202327,0.0003082543568408308,0.0010473585927756003,0.009502900542808397,0.07054531331693066,0.06930925505437781,0.07478981248132704,0.07339077588558966,0.07663440890854646
"Congo, Rep.",0.0005648190802817155,0.00036949447795491626,0.0003301021489331202,0.0010648748714382926,0.009516397562550407,0.11284185933604357,0.10949105437775246,0.11592853428384722,0.12346691836150109,0.12866668382753918
Costa Rica,0.0007460630081270299,0.0005367745465033951,0.0005168222223090759,0.001322789170648789,0.009963900041145586,0.38258296957564497,0.38425299812785807,0.3796153834550278,0.3803458939400528,0.38940415714968984
Cote d'Ivoire,0.0007166865451242955,0.0005369296592558935,0.0005649649382994593,0.0013279095935578784,0.009721504766199507,0.1967457254795027,0.18894296326775373,0.2042544626909113,0.22449294251265414,0.22700225806619065
Croatia,0.0005232654188315819,0.0003350856734832205,0.0003091739629404933,0.0010485575349246277,0.00950125312587175,0.3608789794780106,0.35008326206705936,0.35427604088384673,0.3603018579430469,0.36564385338948435
Cyprus,0.0005222157283590255,0.0003346407284118875,0.00030849000634456796,0.0010474934038597478,0.00950039141668314,0.40724633616778505,0.38281860821720765,0.38095523344063054,0.37916929977166197,0.3836108507112224
Czechia,0.0006819003979690514,0.0004768484480123238,0.00045048960388257376,0.0011904432439568287,0.009688303118774009,0.42516916373854124,0.42685283682157515,0.43783651943254354,0.4368953032209736,0.4447851691726085
Denmark,0.0005890521524327683,0.0003949227674898884,0.0003695030395733036,0.0011195337692404916,0.009596210516236634,0.49935636643841164,0.49885269639091595,0.5026264394608887,0.5019360757188401,0.5024115059598359
Djibouti,0.0005416234499870095,0.0003550462171430193,0.00032756821487490707,0.0010665358418004887,0.009522253924345902,0.13881407889851827,0.1383317000324469,0.13675428260681602,0.13575427603794632,0.1378248454731321
Dominica,0.0005198655268347295,0.0003327804334156376,0.0003063441856112911,0.001044561008571237,0.009496771953945554,0.3565359600150775,0.3678371217711323,0.3670088752794577,0.3690687913158061,0.3754382482788421
Dominican Republic,0.0005458715595601935,0.0003674116637300479,0.00034267146885470594,0.0010863375363432597,0.009550377463869695,0.2476436159711755,0.26181065107923435,0.2836092047340092,0.2826983965269505,0.2901520733240162
Ecuador,0.0005221227113393024,0.00033470698991985333,0.0003085013741532415,0.001047193463650218,0.009499586625325249,0.21601969902484888,0.20599076733043348,0.2251819772334347,0.21416967000503545,0.1891392529373167
"Egypt, Arab Rep.",0.0005494335337943035,0.0003510038004489735,0.0003114712872792242,0.0010184409783781637,0.009440357258381098,0.16924071317768255,0.16242899681848105,0.17116145169445532,0.167500623967637,0.17813421709085497
El Salvador,0.0005207934340082386,0.0003333486806174243,0.00030701410669951146,0.0010452781602479488,0.009497661611104746,0.22865353151482623,0.2346198528914696,0.2217397151030657,0.20224341087698303,0.23992805170363493
Equatorial Guinea,0.0005135465019667588,0.000316992508021617,0.00029464415803647095,0.0010988822015785263,0.009574490829633478,0.09770071013530711,0.09359480069028386,0.09618972043825223,0.09034033556031472,0.09293792409942617
Estonia,0.0005216892580413408,0.0003343531788903108,0.0003083706197077415,0.0010466149429107223,0.009499028138616554,0.45704383485250044,0.46350825791040484,0.465575113065031,0.4668397153043482,0.4652836336910853
